               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.063684,           0.0079272,                   0,             0.49484,             0.41438,             0.29087,            0.091207,            0.042762,           0.0048542,                   0,            0.070003,            0.003333,            0.003333
                   1,            0.050021,           0.0063429,                   0,             0.52815,             0.43126,             0.31892,              0.1066,            0.042618,           0.0046336,                   0,            0.039985,           0.0066486,           0.0066486
                   2,            0.048805,           0.0063573,                   0,             0.52742,             0.43056,             0.32131,             0.10197,            0.043666,           0.0043978,                   0,           0.0099495,           0.0099464,           0.0099464
                   3,            0.047495,            0.006293,                   0,             0.53349,             0.36694,             0.32497,             0.10079,            0.045099,            0.005195,                   0,             0.00992,             0.00992,             0.00992
                   4,            0.045935,           0.0061007,                   0,             0.53522,             0.38364,             0.33372,             0.10476,            0.044128,           0.0048553,                   0,             0.00992,             0.00992,             0.00992
                   5,            0.044967,           0.0059696,                   0,             0.52886,             0.40277,             0.34897,             0.11345,            0.043181,            0.004487,                   0,           0.0098933,           0.0098933,           0.0098933
                   6,            0.044654,           0.0059269,                   0,              0.5336,             0.41976,             0.36452,             0.12222,            0.042294,           0.0044402,                   0,           0.0098667,           0.0098667,           0.0098667
                   7,            0.044482,           0.0059098,                   0,             0.51957,             0.45617,             0.36538,             0.12398,            0.041463,           0.0045551,                   0,             0.00984,             0.00984,             0.00984
                   8,            0.043792,           0.0058277,                   0,             0.50346,             0.45989,             0.35668,             0.12278,            0.041113,           0.0047258,                   0,           0.0098133,           0.0098133,           0.0098133
                   9,            0.043828,           0.0058436,                   0,             0.47623,             0.47162,             0.33949,             0.11792,            0.040934,           0.0050055,                   0,           0.0097867,           0.0097867,           0.0097867
                  10,            0.043493,           0.0057804,                   0,             0.47585,             0.47418,             0.33067,             0.11343,            0.040795,           0.0052094,                   0,             0.00976,             0.00976,             0.00976
                  11,            0.043586,           0.0057935,                   0,             0.47436,             0.47227,             0.31731,             0.10883,            0.040739,           0.0053267,                   0,           0.0097333,           0.0097333,           0.0097333
                  12,            0.043163,           0.0057539,                   0,             0.47221,             0.47239,             0.30835,             0.10573,            0.040794,           0.0054336,                   0,           0.0097067,           0.0097067,           0.0097067
                  13,            0.043089,           0.0057307,                   0,             0.46978,             0.47764,             0.30966,             0.10748,            0.040708,           0.0054942,                   0,             0.00968,             0.00968,             0.00968
                  14,            0.042891,           0.0057034,                   0,             0.47338,             0.47856,             0.31345,             0.10742,            0.040378,           0.0054385,                   0,           0.0096533,           0.0096533,           0.0096533
                  15,            0.042513,           0.0056751,                   0,             0.50533,             0.45039,             0.31148,             0.10599,            0.040382,           0.0054567,                   0,           0.0096267,           0.0096267,           0.0096267
                  16,            0.042496,           0.0056848,                   0,               0.502,             0.45184,             0.30569,             0.10323,            0.040248,           0.0055907,                   0,              0.0096,              0.0096,              0.0096
                  17,             0.04259,           0.0056997,                   0,             0.45994,             0.46958,             0.30111,             0.10191,             0.04044,           0.0057191,                   0,           0.0095733,           0.0095733,           0.0095733
                  18,             0.04228,           0.0056555,                   0,             0.47209,             0.44744,             0.29545,             0.10015,            0.040565,           0.0057694,                   0,           0.0095467,           0.0095467,           0.0095467
                  19,            0.042141,           0.0056377,                   0,             0.48133,             0.44631,             0.29833,             0.10146,            0.040544,           0.0057771,                   0,             0.00952,             0.00952,             0.00952
                  20,            0.042277,           0.0056737,                   0,             0.48181,             0.45582,             0.30037,             0.10346,            0.040135,            0.005912,                   0,           0.0094933,           0.0094933,           0.0094933
                  21,            0.042233,           0.0056504,                   0,             0.47074,             0.47581,             0.31293,             0.10888,            0.039838,           0.0058118,                   0,           0.0094667,           0.0094667,           0.0094667
                  22,            0.041751,           0.0056089,                   0,             0.47674,             0.47925,             0.32374,             0.11204,            0.039733,           0.0057624,                   0,             0.00944,             0.00944,             0.00944
                  23,            0.041862,           0.0056034,                   0,             0.48597,             0.47544,             0.32599,             0.11327,            0.039841,           0.0055606,                   0,           0.0094133,           0.0094133,           0.0094133
                  24,            0.041568,           0.0055732,                   0,             0.50849,             0.47725,             0.33103,             0.11441,            0.039859,           0.0053823,                   0,           0.0093867,           0.0093867,           0.0093867
                  25,             0.04159,           0.0055764,                   0,             0.50862,              0.4727,              0.3273,             0.11314,            0.039686,           0.0054215,                   0,             0.00936,             0.00936,             0.00936
                  26,            0.041332,           0.0055492,                   0,             0.50342,             0.47028,             0.32821,             0.11499,            0.039672,           0.0055408,                   0,           0.0093333,           0.0093333,           0.0093333
                  27,            0.041387,           0.0055502,                   0,             0.50648,              0.4648,             0.32481,             0.11386,            0.039881,           0.0055397,                   0,           0.0093067,           0.0093067,           0.0093067
                  28,            0.041072,           0.0055128,                   0,             0.51306,             0.46421,             0.32491,             0.11333,            0.039705,           0.0055024,                   0,             0.00928,             0.00928,             0.00928
                  29,            0.041225,           0.0055381,                   0,             0.51929,             0.46834,             0.32733,             0.11497,            0.039595,           0.0054051,                   0,           0.0092533,           0.0092533,           0.0092533
                  30,            0.040939,           0.0055127,                   0,             0.52232,             0.46775,              0.3306,             0.11604,            0.039385,           0.0054268,                   0,           0.0092267,           0.0092267,           0.0092267
                  31,            0.040873,           0.0055002,                   0,             0.52143,             0.45888,              0.3299,             0.11643,            0.039511,           0.0054171,                   0,              0.0092,              0.0092,              0.0092
                  32,            0.040926,           0.0055171,                   0,             0.51066,             0.45319,             0.32691,             0.11457,            0.039502,           0.0055311,                   0,           0.0091733,           0.0091733,           0.0091733
                  33,            0.040778,           0.0054946,                   0,             0.51269,             0.47194,             0.33128,             0.11576,            0.039401,           0.0053749,                   0,           0.0091467,           0.0091467,           0.0091467
